episode: 2500, score: 750.0, epsilon: 0.01
episode: 2505, score: 750.0, epsilon: 0.01
episode: 2510, score: 500.0, epsilon: 0.01
episode: 2515, score: 500.0, epsilon: 0.01
episode: 2520, score: 850.0, epsilon: 0.01
episode: 2525, score: 950.0, epsilon: 0.01
episode: 2530, score: 750.0, epsilon: 0.01
episode: 2535, score: 500.0, epsilon: 0.01
episode: 2540, score: 750.0, epsilon: 0.01
episode: 2545, score: 350.0, epsilon: 0.01
episode: 2550, score: 750.0, epsilon: 0.01
episode: 2555, score: 600.0, epsilon: 0.01
episode: 2560, score: 850.0, epsilon: 0.01
episode: 2565, score: 1050.0, epsilon: 0.01
episode: 2570, score: 750.0, epsilon: 0.01
episode: 2575, score: 750.0, epsilon: 0.01
episode: 2580, score: 500.0, epsilon: 0.01
episode: 2585, score: 500.0, epsilon: 0.01
episode: 2590, score: 750.0, epsilon: 0.01
episode: 2595, score: 850.0, epsilon: 0.01
marking, episode: 2600, score: 750.0, mean_score: 681.00, std_score: 339.10
episode: 2600, score: 750.0, epsilon: 0.01
episode: 2605, score: 750.0, epsilon: 0.01
episode: 2610, score: 250.0, epsilon: 0.01
episode: 2615, score: 250.0, epsilon: 0.01
episode: 2620, score: 500.0, epsilon: 0.01
episode: 2625, score: 1050.0, epsilon: 0.01
episode: 2630, score: 500.0, epsilon: 0.01
episode: 2635, score: 850.0, epsilon: 0.01
episode: 2640, score: 500.0, epsilon: 0.01
episode: 2645, score: 500.0, epsilon: 0.01
episode: 2650, score: 1000.0, epsilon: 0.01
episode: 2655, score: 750.0, epsilon: 0.01
episode: 2660, score: 850.0, epsilon: 0.01
episode: 2665, score: 500.0, epsilon: 0.01
episode: 2670, score: 600.0, epsilon: 0.01
episode: 2675, score: 750.0, epsilon: 0.01
episode: 2680, score: 600.0, epsilon: 0.01
episode: 2685, score: 750.0, epsilon: 0.01
episode: 2690, score: 350.0, epsilon: 0.01
episode: 2695, score: 750.0, epsilon: 0.01
marking, episode: 2700, score: 1100.0, mean_score: 634.00, std_score: 342.41
episode: 2700, score: 1100.0, epsilon: 0.01
episode: 2705, score: 600.0, epsilon: 0.01
episode: 2710, score: 750.0, epsilon: 0.01
episode: 2715, score: 850.0, epsilon: 0.01
episode: 2720, score: 500.0, epsilon: 0.01
episode: 2725, score: 750.0, epsilon: 0.01
episode: 2730, score: 750.0, epsilon: 0.01
episode: 2735, score: 950.0, epsilon: 0.01
episode: 2740, score: 750.0, epsilon: 0.01
episode: 2745, score: 750.0, epsilon: 0.01
